geneid,log2FoldChange,padj_a,diff.log2.fc,padj_b,label
ENSMUSG00000032503,9.255800302,4.68E-17,4.689612665,0.003630781,Arpp21
ENSMUSG00000030592,8.786357339,0,-1.392334987,0.004677351,Ryr1
ENSMUSG00000051747,8.224613324,1.06E-71,1.235750731,1.58E-11,Ttn
ENSMUSG00000091898,7.916410969,0,-1.181683637,0.003715352,Tnnc1
ENSMUSG00000090210,7.08749172,1.57E-156,-1.785925689,0.001778279,Itga10
ENSMUSG00000028328,5.955109369,7.03E-93,3.738576339,5.01E-22,Tmod1
ENSMUSG00000057378,5.746130269,7.52E-164,-0.317651605,0.005495409,
ENSMUSG00000026228,5.602621849,3.87E-38,2.718164773,7.24E-05,
ENSMUSG00000018411,5.530735476,1.56E-13,2.164141022,0.004265795,
ENSMUSG00000048442,5.251097937,1.54E-08,6.410001813,3.16E-07,
ENSMUSG00000001506,5.115140828,9.34E-139,-0.11435498,5.01E-12,
ENSMUSG00000044033,5.095182727,1.54E-46,-0.426272718,0.002818383,
ENSMUSG00000013483,4.917599526,2.05E-13,2.422928507,0.000691831,
ENSMUSG00000072905,4.867149959,1.09E-06,2.333073867,0.001380384,
ENSMUSG00000031740,4.839460869,0,-0.357093914,0.000354813,
ENSMUSG00000033849,4.818841232,0.000171505,4.985233258,0.004677351,
ENSMUSG00000003134,4.77249696,9.12E-51,1.79173513,1.00E-11,
ENSMUSG00000055435,4.763649706,3.98E-105,1.513654481,0.000323594,
ENSMUSG00000020598,4.70885337,3.26E-48,2.249750563,0.000616595,
ENSMUSG00000031791,4.664472275,4.50E-222,0.152694133,0.000630957,
ENSMUSG00000024236,4.639421499,1.36E-169,-0.663135436,0.001230269,
ENSMUSG00000079243,4.608408525,1.01E-116,-0.913383916,1.26E-15,
ENSMUSG00000036390,4.548529506,5.05E-215,0.383026527,0.002041738,
ENSMUSG00000054412,4.517168701,0.045932898,0.036614656,9.12E-05,
ENSMUSG00000109450,4.497381986,0.068784183,5.51108346,0.006606934,
ENSMUSG00000000142,4.451064405,8.60E-32,2.544664702,8.13E-06,
ENSMUSG00000021798,4.421187169,1.78E-14,-0.149523335,3.63E-05,
ENSMUSG00000087064,4.347652968,6.89E-05,4.843081147,0.002884032,
ENSMUSG00000021815,4.271128906,3.90E-72,2.120988829,0.003630781,
ENSMUSG00000026185,4.268299345,2.15E-120,-0.057753437,1.58E-79,
ENSMUSG00000110547,4.253769532,6.79E-16,2.786910874,8.13E-06,
ENSMUSG00000026251,4.169067574,1.70E-49,-0.618716114,0.000114815,
ENSMUSG00000027797,4.14691819,3.41E-237,-1.164747413,7.94E-17,
ENSMUSG00000001119,4.145008899,1.65E-13,-0.206001134,4.27E-05,
ENSMUSG00000027961,4.092437352,2.22E-26,1.472072305,1.07E-07,
ENSMUSG00000040624,3.909348519,1.42E-06,5.01366421,0.00724436,
ENSMUSG00000078956,3.837473553,1.53E-69,-0.386731587,7.08E-05,
ENSMUSG00000036103,3.818255441,3.49E-61,1.980312224,0.007943282,
ENSMUSG00000060429,3.812586617,1.36E-44,-0.835559075,2.04E-05,
ENSMUSG00000092341,3.794998511,2.62E-19,-0.04501687,2.14E-06,
ENSMUSG00000046387,3.77253007,7.66E-48,0.936572439,0.008128305,
ENSMUSG00000027656,3.744809511,3.13E-37,4.239076676,1.95E-05,
ENSMUSG00000115317,3.700128778,3.00E-76,2.056870624,0.004073803,
ENSMUSG00000059974,3.684578544,0.149332076,6.64691998,0.005248075,
ENSMUSG00000026414,3.599316749,1.27E-11,0.547915664,2.00E-22,
ENSMUSG00000028348,3.596914362,5.30E-120,0.090962749,7.94E-12,
ENSMUSG00000039542,3.595928541,3.90E-107,-0.099279915,7.41E-05,
ENSMUSG00000023067,3.576529222,9.08E-63,-0.408461731,0.000109648,
ENSMUSG00000027204,3.553706833,5.33E-80,0.348238722,8.71E-08,
ENSMUSG00000038170,3.525150689,3.80E-205,-1.609216964,6.31E-25,
ENSMUSG00000012126,3.515690665,2.83E-10,-0.503248401,0.00042658,
ENSMUSG00000068699,3.494691368,1.78E-112,0.098314404,6.61E-05,
ENSMUSG00000116617,3.471597805,0.00011631,1.496278761,0.005370318,
ENSMUSG00000022261,3.427855123,1.10E-72,0.142458057,0.003890451,
ENSMUSG00000031841,3.423199705,8.64E-111,-0.036552902,6.76E-06,
ENSMUSG00000025348,3.422375094,8.98E-200,0.027619726,0.001513561,
ENSMUSG00000057969,3.41478631,9.29E-104,-0.174196796,1.32E-06,
ENSMUSG00000031880,3.390053048,1.16E-22,1.594121195,0.002238721,
ENSMUSG00000032511,3.362622499,9.86E-10,-1.736749635,5.01E-12,
ENSMUSG00000031543,3.359719769,2.33E-81,-3.621099669,0.000549541,
ENSMUSG00000046191,3.357274443,3.15E-31,1.373623619,0.002290868,
ENSMUSG00000023830,3.353925732,6.98E-74,-0.248085344,0.000263027,
ENSMUSG00000113216,3.351379664,6.60E-39,1.204356141,2.51E-12,
ENSMUSG00000117007,3.344761218,0.000469331,2.037279152,0.007079458,
ENSMUSG00000032332,3.302212394,2.53E-22,0.083595149,4.37E-08,
ENSMUSG00000022665,3.29921999,9.78E-30,0.44066834,3.16E-16,
ENSMUSG00000073067,3.293235422,6.37E-07,2.470776976,0.002951209,
ENSMUSG00000045094,3.292866505,9.84E-10,4.979049409,0.000630957,
ENSMUSG00000046312,3.28782418,3.20E-87,-0.846267268,0.000549541,
ENSMUSG00000097413,3.28564966,0.046067162,-0.359063374,0.00060256,
ENSMUSG00000039474,3.281408644,2.76E-99,-0.473893824,1.17E-06,
ENSMUSG00000117231,3.267588435,0.001452979,5.029010117,0.007762471,
ENSMUSG00000038984,3.263273271,4.38E-17,1.641336584,0.003548134,
ENSMUSG00000027022,3.259292786,8.77E-20,1.38694857,6.31E-12,
ENSMUSG00000025579,3.258424486,1.03E-77,-0.690486982,4.27E-06,
ENSMUSG00000092274,3.241468878,3.85E-11,0.998560471,1.74E-07,
ENSMUSG00000068587,3.240510937,3.90E-55,-0.418550854,0.009332543,
ENSMUSG00000039126,3.224469554,4.61E-51,-0.543434978,1.58E-55,
ENSMUSG00000052512,3.223334171,8.09E-97,-0.497072018,0.001995262,
ENSMUSG00000022946,3.209326538,1.33E-115,-0.668034366,0.009332543,
ENSMUSG00000028464,3.206818454,4.12E-218,1.584450966,6.31E-18,
ENSMUSG00000021253,3.204741879,5.73E-55,0.083262952,1.38E-06,
ENSMUSG00000017817,3.204736336,1.35E-196,-0.42217419,1.58E-20,
ENSMUSG00000036002,3.181928213,1.20E-131,-0.756576212,1.74E-09,
ENSMUSG00000024778,3.16894411,6.54E-11,2.136635843,0.000630957,
ENSMUSG00000027805,3.166267436,1.96E-30,-0.532664713,0.00616595,
ENSMUSG00000038295,3.163432644,5.80E-13,0.326470581,0.008128305,
ENSMUSG00000074384,3.153733246,1.05E-16,1.104237866,2.09E-06,
ENSMUSG00000039958,3.15313557,1.24E-27,1.242502372,0.006025596,
ENSMUSG00000061689,3.150062708,2.10E-191,0.734235708,0.001548817,
ENSMUSG00000039787,3.133494198,2.96E-44,-0.375896931,0.001380384,
ENSMUSG00000073910,3.115853746,3.31E-11,2.628378219,0.000398107,
ENSMUSG00000034212,3.112517151,2.59E-06,0.289405588,6.31E-11,
ENSMUSG00000025006,3.107709387,1.71E-44,0.500893419,0.001230269,
ENSMUSG00000024176,3.101750473,3.19E-07,2.640953413,0.004677351,
ENSMUSG00000038463,3.098746725,9.37E-51,-0.178877331,0.003311311,
ENSMUSG00000051498,3.068125515,2.53E-20,0.711397845,0.003467369,
ENSMUSG00000022773,3.065419709,3.56E-07,-0.508274163,0.002951209,
ENSMUSG00000042613,3.05716311,5.37E-123,-0.320157541,4.79E-05,
ENSMUSG00000038086,3.0399129,7.62E-23,1.043440075,0.008709636,
ENSMUSG00000043822,3.035201298,2.91E-34,0.072082416,0.000380189,
ENSMUSG00000026193,3.026259065,1.90E-48,0.318720784,2.00E-13,
ENSMUSG00000050592,3.011856353,0.218396286,4.597298177,0.000691831,
ENSMUSG00000021835,2.989788428,4.73E-47,1.052964302,0.000239883,
ENSMUSG00000086245,2.988973417,0.00024103,1.557359833,0.008912509,
