,log2FoldChange,padj,baseMean,name
ENSG00000090889,10.23762993,1.64E-35,615.1450168,KIF4A
ENSG00000162433,10.21250771,4.73E-41,904.218508,AK4
ENSG00000126787,10.20674875,4.66E-60,1303.234338,DLGAP5
ENSG00000171848,10.11032535,1.02E-93,7360.627451,RRM2
ENSG00000138180,10.02649424,2.87E-59,1124.781623,CEP55
ENSG00000075673,9.63551156,2.07E-19,127.7319239,ATP12A
ENSG00000111732,9.546748218,8.74E-25,232.8017052,AICDA
ENSG00000101003,9.456848744,1.12E-51,721.1609738,GINS1
ENSG00000139734,9.414481584,6.63E-37,503.8751153,DIAPH3
ENSG00000161888,9.361968938,3.85E-27,253.0322738,SPC24
ENSG00000165304,9.348152687,1.37E-51,761.9792354,MELK
ENSG00000024526,9.207445177,2.66E-41,776.1497598,DEPDC1
ENSG00000120949,9.167485005,3.11E-20,781.2111632,TNFRSF8
ENSG00000171320,9.066422054,2.74E-49,660.8468825,ESCO2
ENSG00000256663,9.057879995,3.40E-30,291.3701936,
ENSG00000162062,9.030137868,1.90E-18,116.8182638,
ENSG00000138772,8.960862533,1.24E-19,157.7888428,
ENSG00000136010,8.943461613,1.07E-66,2322.899366,
ENSG00000134853,8.889674823,1.02E-16,73.85064944,
ENSG00000112984,8.774879184,1.19E-46,611.0765127,
ENSG00000118513,8.756528883,1.07E-39,374.3052107,
ENSG00000140534,8.713701219,1.92E-43,490.6365985,
ENSG00000109674,8.649678711,3.51E-23,130.3645219,
ENSG00000148773,8.646455783,4.95E-58,7372.997372,
ENSG00000186185,8.511390388,3.37E-46,655.3076501,
ENSG00000183856,8.488051461,1.26E-26,197.61253,
ENSG00000127564,8.453714752,4.67E-37,502.8087413,
ENSG00000099194,8.448655867,5.21E-50,2940.405311,
ENSG00000117399,8.395364877,1.08E-62,2347.470403,
ENSG00000035499,8.380889587,1.08E-52,778.1519485,
ENSG00000065328,8.357066281,1.50E-49,693.4175348,
ENSG00000123485,8.326018408,3.83E-49,1029.957539,
ENSG00000087586,8.305191831,5.78E-67,1122.108029,
ENSG00000188001,8.303113089,4.08E-35,340.1897133,
ENSG00000135069,8.292625377,1.47E-60,3503.309002,
ENSG00000118193,8.286243279,9.11E-66,650.0005688,
ENSG00000129173,8.277702524,3.27E-47,509.2030995,
ENSG00000152253,8.255866887,3.86E-42,351.0425887,
ENSG00000075218,8.247462063,2.11E-52,817.0020276,
ENSG00000169715,8.23610065,2.01E-22,167.1821794,
ENSG00000154839,8.226436832,5.70E-69,1052.732583,
ENSG00000242444,8.22426729,2.99E-13,44.94471056,
ENSG00000181019,8.166866529,1.00E-45,459.5480819,
ENSG00000154277,8.16137931,8.06E-47,484.8599429,
ENSG00000034063,8.137226964,1.01E-53,1104.474434,
ENSG00000169679,8.129371871,1.32E-91,3560.362966,
ENSG00000135451,8.119549733,5.08E-44,585.1766616,
ENSG00000122952,8.116079176,5.34E-71,1450.483665,
ENSG00000164362,8.115057864,3.77E-14,55.49465005,
ENSG00000071539,8.108068447,3.81E-62,678.7674127,
ENSG00000170312,8.096270252,1.05E-74,1803.739924,
ENSG00000113739,8.095207401,3.03E-18,99.65554721,
ENSG00000237649,8.079523,1.57E-69,1483.949203,
ENSG00000165480,8.075854049,1.88E-51,511.3875349,
ENSG00000134531,8.069400888,4.21E-31,607.5072484,
ENSG00000134222,8.050615306,8.38E-15,68.87322847,
ENSG00000147852,7.976409406,5.10E-30,213.7402233,
ENSG00000087842,7.965595427,9.26E-24,176.1254331,
ENSG00000166803,7.947945865,2.86E-34,1221.669564,
ENSG00000168078,7.914266235,2.51E-50,605.2665272,
ENSG00000263535,7.852074158,2.06E-26,130.0076207,
ENSG00000229191,7.83587185,8.77E-17,65.12687386,
ENSG00000117724,7.833804553,5.86E-79,1643.644027,
ENSG00000123685,7.818827742,1.03E-20,93.80928401,
ENSG00000181577,7.816584526,5.21E-10,22.80910301,
ENSG00000133101,7.809586257,5.26E-10,19.76669797,
ENSG00000100206,7.795959677,7.52E-22,86.08156103,
ENSG00000183780,7.768002728,8.45E-09,18.2229518,
ENSG00000094804,7.763622449,8.89E-95,1624.623366,
ENSG00000165188,7.707547713,3.68E-12,39.90016157,
ENSG00000077152,7.662472826,2.50E-39,887.5677714,
ENSG00000134824,7.651492282,1.02E-24,1157.11124,
ENSG00000183010,7.636954436,1.05E-57,864.8964551,
ENSG00000245694,7.614856887,4.31E-12,45.23193721,
