ID,log2FC,FDR
ENSG00000165474.5,3.813774116,4.73E-43
ENSG00000172156.3,3.783603141,9.82E-69
ENSG00000183856.10,3.782305437,1.86E-85
ENSG00000186185.13,3.768188072,5.96E-79
ENSG00000147434.8,3.685192922,1.18E-62
ENSG00000066279.16,3.674354236,1.20E-69
ENSG00000101057.15,3.65131462,1.40E-49
ENSG00000145681.10,3.62424792,7.66E-30
ENSG00000112984.11,3.617374815,4.66E-79
ENSG00000143228.12,3.616797859,1.19E-79
ENSG00000131747.14,3.613818034,8.47E-64
ENSG00000136546.13,-3.006494242,3.35E-47
ENSG00000153993.13,-3.020105669,1.63E-81
ENSG00000267206.5,-3.020508308,2.00E-59
ENSG00000196104.10,-3.023251038,6.91E-44
ENSG00000179270.6,-3.023304259,3.42E-51
ENSG00000166405.14,-3.027580787,2.02E-53
ENSG00000188626.6,-3.030611487,2.27E-77
ENSG00000070193.4,-3.031354456,4.04E-39
ENSG00000141052.17,-3.03717245,1.39E-84
ENSG00000119121.21,-3.039019064,1.35E-70
ENSG00000109158.10,-3.039712375,1.69E-45
ENSG00000134240.11,-3.040865231,1.19E-17
ENSG00000080493.13,-3.04218022,3.70E-66
ENSG00000187398.11,-3.042181217,3.97E-53
ENSG00000036549.12,-0.288395862,7.44E-06
ENSG00000074755.14,-0.572136943,6.03E-21
ENSG00000159840.15,-0.333904633,2.59E-06
ENSG00000162378.12,-0.572819422,1.78E-24
ENSG00000203995.9,1.325677663,5.99E-13
ENSG00000198205.6,-0.472505038,1.33E-10
ENSG00000122952.16,2.527765604,8.94E-83
ENSG00000174442.11,1.059819525,1.03E-45
ENSG00000153975.9,0.2834806,1.47E-06
ENSG00000214941.7,-0.233050488,0.000342781
ENSG00000162415.6,-0.449880249,0.006737233
ENSG00000132003.9,0.782506288,2.45E-19
ENSG00000132801.6,0.109962261,0.11028007
ENSG00000163012.3,-0.403252884,0.000339514
ENSG00000168612.4,0.284114557,4.30E-08
ENSG00000137185.11,0.122277425,0.100336795
